id,address,item_id,latitude,longitude,map_type,url,zoom_level
3545,omagua,10727,-8.3860245,-74.5425493,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3545,5
3546,chiclayo,10728,-6.766417,-79.8408308,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3546,5
3547,brooklyn,10610,40.6501038,-73.9495823,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3547,5
3548,berne,8685,46.9482713,7.4514512,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3548,5
3549,iowa city,8689,41.6612561,-91.5299106,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3549,5
3550,bern,8693,46.9482713,7.4514512,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3550,5
3551,cincinnati,8699,39.1014537,-84.5124602,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3551,5
3552,"new brunswick, new jersey",8733,40.4862174,-74.4518173,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3552,5
3553,philadelphia,8735,39.9527237,-75.1635262,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3553,5
3554,philadelphia,8736,39.9527237,-75.1635262,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3554,5
3555,philadelphia,8737,39.9527237,-75.1635262,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3555,5
3556,philadelphia,8738,39.9527237,-75.1635262,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3556,5
3557,philadelphia,8739,39.9527237,-75.1635262,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3557,5
3558,"aralia, california",8741,32.897373,-117.104843,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3558,5
3559,philadelphia,8744,39.9527237,-75.1635262,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3559,5
3560,philadelphia,8746,39.9527237,-75.1635262,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3560,5
3561,university of kansas,8748,38.958058,-95.2477503,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3561,5
3562,minneapolis,8750,44.9772995,-93.2654692,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3562,5
3563,new york,362,40.7127281,-74.0060152,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3563,5
3564,germany,8869,51.0834196,10.4234469,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3564,5
3565,cincinnati,8872,39.1014537,-84.5124602,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3565,5
3566,west bengal,8873,22.9964948,87.6855882,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3566,5
3567,kalamazoo,8875,42.291707,-85.5872286,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3567,5
3568,university of minnesota,8876,44.97308605,-93.23708812629405,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3568,5
3569,calcutta,8877,22.5726723,88.3638815,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3569,5
3570,philadelphia,8878,39.9527237,-75.1635262,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3570,5
3571,cincinnati,8879,39.1014537,-84.5124602,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3571,5
3572,"Norwich, New York",417,42.531184,-75.5235149,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3572,5
3573,philadelphia,8883,39.9527237,-75.1635262,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3573,5
3574,philadelphia,8884,39.9527237,-75.1635262,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3574,5
3575,philadelphia,8885,39.9527237,-75.1635262,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3575,5
3576,london,8886,51.5073219,-0.1276474,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3576,5
3577,south dakota state university,8888,44.32019135,-96.78399048930322,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3577,5
3578,philadelphia,8889,39.9527237,-75.1635262,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3578,5
3579,philadelphia,8890,39.9527237,-75.1635262,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3579,5
3580,philadelphia,8892,39.9527237,-75.1635262,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3580,5
3581,madison,8893,43.074761,-89.3837613,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3581,5
3582,leeward islands,8894,17.65,-63.235,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3582,5
3583,"pullman, washington",8895,46.7304268,-117.173895,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3583,5
3584,new york,95,40.7127281,-74.0060152,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3584,5
3585,philadelphia,8904,39.9527237,-75.1635262,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3585,5
3586,philadelphia,8905,39.9527237,-75.1635262,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3586,5
3587,philadelphia,8906,39.9527237,-75.1635262,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3587,5
3588,philadelphia,8907,39.9527237,-75.1635262,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3588,5
3589,philadelphia,8908,39.9527237,-75.1635262,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3589,5
3590,philadelphia,8909,39.9527237,-75.1635262,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3590,5
3591,philadelphia,8910,39.9527237,-75.1635262,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3591,5
3592,Kansas city,159,39.100105,-94.5781416,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3592,5
3593,"aralia, california",8911,32.897373,-117.104843,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3593,5
3594,"Chicago, Ill",208,41.7267016,-87.5625461,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3594,5
3595,philadelphia,8917,39.9527237,-75.1635262,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3595,5
3596,philadelphia,8921,39.9527237,-75.1635262,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3596,5
3597,university of kansas,8925,38.958058,-95.2477503,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3597,5
3598,"Norwich, New York",414,42.531184,-75.5235149,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3598,5
3599,"tanta, egypt",8927,30.7833666,30.9982536,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3599,5
3600,"Chicago, Ill",419,41.7267016,-87.5625461,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3600,5
3601,minneapolis,8929,44.9772995,-93.2654692,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3601,5
3602,richmond,8933,37.5385087,-77.43428,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3602,5
3603,university of california,8935,37.8753497,-122.23963364918777,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3603,5
3604,new south wales,8937,-31.8759835,147.2869493,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3604,4
